transaction_id,amount,category,customer_age
129,514.95,Bills,51
130,424.48,Food,29
131,267.4,Shopping,36
132,510.28,Shopping,54
133,340.65,Travel,61
134,571.04,Shopping,34
135,362.09,Shopping,27
136,732.49,Food,64
137,382.51,Shopping,29
138,451.69,Bills,33
139,622.03,Food,41
140,315.37,Food,36
141,534.12,Travel,25
142,696.07,Shopping,48
143,258.88,Travel,38
144,527.7,Bills,34
145,538.98,Food,40
146,617.27,Food,54
147,314.46,Food,33
148,301.93,Bills,23
149,578.29,Bills,25
150,544.55,Travel,42
151,537.57,Travel,35
152,551.97,Travel,42
153,398.0,Shopping,29
154,534.84,Food,32
155,543.96,Food,43
156,392.85,Travel,58
157,779.87,Food,62
158,571.07,Travel,43
159,321.3,Shopping,64
160,598.48,Shopping,49
161,353.8,Bills,27
162,618.06,Shopping,33
163,673.79,Travel,24
164,376.9,Shopping,34
165,644.51,Bills,40
166,561.92,Food,43
167,623.31,Travel,38
168,784.52,Food,39
169,463.19,Bills,24
170,386.94,Bills,31
171,366.57,Bills,32
172,377.63,Food,24
173,488.43,Food,26
174,551.17,Food,25
175,541.5,Food,40
176,624.08,Bills,46
177,501.95,Bills,35
178,718.03,Travel,48
179,460.3,Travel,47
180,908.03,Food,56
181,593.85,Shopping,52
182,371.43,Shopping,35
183,339.37,Bills,59
184,572.37,Bills,56
185,466.48,Bills,34
186,607.1,Travel,31
187,570.99,Travel,48
188,489.08,Bills,41
189,372.98,Bills,52
190,272.77,Bills,61
191,433.02,Shopping,62
192,628.46,Travel,51
193,532.11,Shopping,20
194,313.14,Shopping,54
195,525.98,Bills,60
196,557.8,Bills,57
197,367.42,Food,43
198,523.06,Food,40
199,508.73,Shopping,61
200,328.55,Travel,56
201,553.67,Bills,32
202,584.12,Bills,21
203,662.46,Shopping,46
204,658.07,Food,39
205,293.35,Travel,42
206,359.33,Food,30
207,577.26,Food,35
208,577.07,Food,50
209,577.26,Food,33
210,1077.91,Bills,62
211,585.63,Bills,59
212,670.33,Food,61
213,643.1,Travel,19
214,597.71,Shopping,52
215,452.71,Travel,59
216,613.85,Travel,51
217,384.08,Travel,47
218,464.48,Food,30
219,427.2,Bills,30
220,512.28,Travel,35
221,847.2,Food,49
222,219.91,Travel,49
223,602.94,Travel,52
224,258.09,Food,56
225,429.21,Bills,63
226,663.34,Bills,46
227,509.64,Shopping,46
228,338.34,Food,61
229,392.7,Shopping,33
230,601.94,Shopping,61
231,390.45,Shopping,64
232,532.47,Bills,27
233,506.84,Food,47
234,402.26,Shopping,42
235,821.59,Food,56
236,595.09,Food,37
237,196.23,Bills,22
238,527.97,Shopping,18
239,400.73,Shopping,47
240,627.87,Food,20
241,381.12,Travel,62
242,482.79,Bills,31
243,575.75,Bills,47
244,629.86,Bills,21
245,319.96,Bills,35
246,449.82,Shopping,54
247,428.76,Shopping,42
248,402.0,Travel,18
249,764.82,Bills,63
250,560.75,Bills,32
251,310.87,Food,26
252,637.68,Shopping,32
253,818.32,Bills,41
254,654.87,Travel,21
255,272.09,Travel,29
256,427.36,Shopping,54
257,690.04,Travel,54
258,393.85,Travel,60
259,566.57,Shopping,23
260,616.2,Bills,56
261,360.96,Bills,63
262,491.07,Travel,41
263,13.81,Travel,28
264,346.34,Bills,30
265,462.11,Shopping,51
266,312.83,Travel,42
267,744.86,Food,24
268,285.48,Shopping,21
269,433.99,Travel,25
270,519.61,Travel,37
271,716.19,Food,46
272,284.62,Food,62
273,674.47,Bills,63
274,501.53,Shopping,27
275,352.77,Shopping,60
276,569.32,Bills,51
277,529.86,Shopping,43
278,409.97,Shopping,58
279,510.47,Shopping,20
280,442.2,Shopping,23
281,517.03,Shopping,22
282,599.32,Food,22
283,737.9,Shopping,64
284,314.33,Food,40
285,819.96,Shopping,26
286,207.19,Bills,52
287,477.23,Travel,37
288,588.25,Food,59
289,542.15,Shopping,52
290,406.6,Bills,35
291,468.78,Travel,34
292,426.05,Food,41
293,411.6,Travel,20
294,627.44,Bills,49
295,553.55,Food,52
296,396.06,Travel,55
297,634.94,Shopping,30
298,546.09,Food,64
299,621.93,Travel,42
300,594.44,Bills,26
301,375.65,Bills,21
302,415.97,Food,31
303,612.09,Travel,54
304,591.56,Food,51
305,496.86,Food,28
306,517.6,Travel,58
307,691.65,Travel,20
308,411.26,Shopping,45
309,582.06,Travel,46
310,469.67,Bills,26
311,467.35,Food,20
312,664.82,Food,42
313,623.81,Bills,51
314,622.03,Travel,29
315,695.82,Bills,59
316,503.15,Bills,26
317,602.29,Shopping,32
318,453.46,Bills,57
319,548.62,Food,42
320,480.48,Bills,22
321,514.55,Food,28
322,589.27,Food,51
323,377.27,Food,41
324,813.86,Travel,32
325,349.1,Shopping,55
326,317.87,Food,25
327,673.72,Food,22
328,618.75,Travel,43
329,593.62,Food,35
330,594.25,Bills,23
331,498.16,Bills,54
332,365.41,Shopping,30
333,511.37,Food,45
334,398.43,Travel,22
335,646.27,Bills,30
336,477.94,Travel,34
337,376.18,Travel,57
338,451.79,Bills,62
339,561.94,Travel,49
340,415.44,Bills,46
341,376.67,Travel,20
342,536.55,Bills,57
343,536.74,Food,51
344,423.96,Shopping,57
345,429.34,Bills,44
346,534.81,Bills,30
347,282.79,Shopping,62
348,288.88,Bills,50
349,392.23,Bills,23
350,467.98,Travel,41
351,546.64,Shopping,36
352,721.3,Food,33
353,628.65,Bills,57
354,476.01,Shopping,45
355,497.15,Travel,50
356,349.62,Food,58
357,497.22,Shopping,30
358,456.7,Food,60
359,548.41,Food,62
360,375.92,Food,42
361,577.9,Bills,59
362,729.91,Bills,53
363,483.69,Travel,44
364,560.26,Travel,55
365,603.52,Shopping,24
366,439.82,Travel,22
367,533.61,Food,60
368,501.89,Food,62
369,514.65,Bills,48
370,384.05,Food,40
371,503.68,Shopping,59
372,574.7,Food,27
373,717.67,Food,49
374,643.89,Shopping,60
375,822.98,Travel,47
376,384.9,Travel,56
377,630.85,Shopping,48
378,527.5,Bills,35
379,828.47,Food,53
380,378.76,Shopping,19
381,374.04,Food,31
382,410.09,Bills,30
383,181.42,Food,46
384,421.14,Shopping,29
385,386.13,Food,56
386,522.56,Travel,19
387,551.26,Bills,49
388,781.43,Bills,30
389,642.56,Bills,63
390,413.46,Shopping,44
391,365.24,Bills,58
392,573.79,Travel,34
393,301.97,Shopping,57
394,774.72,Travel,48
395,676.92,Food,51
396,429.62,Food,41
397,243.03,Food,62
398,703.08,Food,52
399,482.82,Travel,23
400,685.67,Shopping,36
401,260.84,Shopping,47
402,410.09,Bills,24
403,500.79,Travel,27
404,507.05,Food,58
405,432.49,Travel,49
406,593.43,Bills,51
407,339.86,Bills,45
408,478.64,Travel,32
409,518.04,Travel,47
410,577.17,Travel,54
411,606.74,Shopping,46
412,331.3,Food,39
413,269.88,Travel,21
414,691.65,Travel,37
415,549.85,Travel,49
416,387.73,Bills,53
417,732.67,Bills,21
418,517.35,Shopping,44
419,676.89,Food,34
420,510.13,Shopping,29
421,809.11,Food,39
422,763.3,Bills,34
423,462.66,Bills,27
424,645.74,Bills,18
425,596.81,Shopping,39
426,705.29,Travel,43
427,355.26,Travel,35
428,602.91,Bills,31
429,658.76,Travel,64
430,236.19,Travel,46
431,322.51,Shopping,29
432,194.12,Food,53
433,459.59,Bills,52
434,607.63,Bills,29
435,725.35,Shopping,24
436,511.11,Shopping,46
437,744.29,Travel,28
438,292.98,Bills,50
439,244.49,Food,23
440,491.67,Shopping,64
441,557.61,Food,32
442,495.1,Food,49
443,189.88,Bills,28
444,486.63,Bills,40
445,304.33,Shopping,43
446,600.45,Bills,51
447,554.99,Bills,63
448,359.02,Bills,51
449,422.92,Food,46
450,341.12,Shopping,21
451,490.6,Travel,34
452,643.27,Food,52
453,352.14,Bills,30
454,575.61,Food,58
455,420.46,Bills,56
456,381.07,Bills,32
457,483.95,Food,46
458,344.71,Shopping,46
459,416.95,Bills,28
460,320.32,Shopping,49
461,794.71,Travel,19
462,505.29,Bills,64
463,395.04,Shopping,31
464,532.1,Shopping,37
465,483.15,Travel,39
466,466.85,Shopping,28
467,592.13,Shopping,44
468,613.63,Travel,20
469,420.42,Bills,34
470,413.63,Shopping,61
471,458.74,Shopping,45
472,154.71,Shopping,46
473,272.72,Food,38
474,705.03,Travel,64
475,746.75,Food,33
476,462.64,Travel,54
477,586.48,Bills,37
478,546.69,Bills,23
479,961.83,Shopping,36
480,667.94,Travel,22
481,480.81,Bills,20
482,356.67,Travel,18
483,259.03,Bills,55
484,530.52,Food,32
485,386.55,Bills,51
486,286.66,Food,52
487,403.01,Bills,42
488,337.77,Shopping,41
489,753.07,Food,29
490,632.25,Bills,35
491,498.8,Shopping,32
492,721.99,Food,61
493,511.61,Shopping,33
494,370.81,Travel,44
495,728.47,Travel,25
496,580.84,Food,63
497,344.41,Bills,42
498,471.45,Food,34
499,368.66,Shopping,46
500,292.58,Bills,25
